"MODEL INPUT / METRIC","VALUE"
"Security","OCBC / O39.SI"
"1H26 Net Profit","S$4.19B"
"1H26 ROE","13.7%"
"1H26 NIM","1.73%"
"NPL","0.9%"
"CET1","15.7%"
"P/B Range","1.8x – 3.6x"
"P/E Range","11x – 20x"
"Dividend Yield Range","4.5% – 5.5%"
"Model Note","Illustrative portfolio worksheet; refresh inputs against primary filings."
