Metric,Historical 1,Historical 2,Latest / FY26
"ROE %","14.8","17.4","7.2"
"ROA %","5.8","6.4","2.8"
"Return on turnover %","14.2","14.4","6"
"Basic EPS (cents)","63.3","89.3","38.4"
