Metric,Historical 1,Historical 2,Latest / FY26
"Balance-sheet size","3617623","3910199","FY25"
"Deposits","2379786","2714715","FY25"
"GNPA %","1.24","1.33","FY25"
"NIM %","3.52","3.48","FY25"
