"MODEL INPUT / METRIC","VALUE"
"Security","Reliance / RELIANCE.NS"
"FY26 Revenue","₹11.76L Cr"
"FY26 EBITDA","₹2.08L Cr"
"FY26 PAT","₹95,754 Cr"
"FY26 Capex","₹1.44L Cr"
"Net Debt / EBITDA","0.60x"
"WACC","10.0% illustrative"
"Terminal Growth","3.0% illustrative"
"Methods","DCF · Trading Comps · SOTP"
"Model Note","Illustrative portfolio worksheet; refresh inputs against primary filings."
