"MODEL INPUT / METRIC","VALUE"
"Security","L&T / LT.NS"
"FY26 Revenue","₹285,874 Cr"
"FY26 Recurring PAT","₹17,238 Cr"
"FY26 Order Book","₹7.40L Cr"
"Q1 FY27 Revenue","₹67,942 Cr"
"TTM ROE","16.1%"
"WACC","10.0% illustrative"
"Terminal Growth","3.0% illustrative"
"Methods","DCF · P/E · P/B · Dividend Yield"
"Model Note","Illustrative portfolio worksheet; refresh inputs against primary filings."
